timestamp,gross_return,net_return,benchmark_return,one_way_turnover,traded_notional,cost,gross_exposure,net_exposure,cash_weight,max_abs_weight,concentration_hhi,rebalanced,decision_eligible,decision_schedule_kind,decision_every_bars,decision_anchor,decision_session,execution_reason,execution_risk_status,execution_risk_forecast_available,execution_risk_observations,pretrade_risk_forecast_annualized,proposed_risk_forecast_pre_annualized,proposed_risk_forecast_post_annualized,executed_risk_forecast_annualized,execution_risk_ceiling_annualized,proposed_runtime_risk_scale,execution_risk_repair_scale,proposed_one_way_turnover,ordinary_rebalance,risk_rebalance_override,constraint_rebalance_override,constraint_repair_one_way,executed_constraint_maximum_error,max_participation,mean_participation
2024-02-23,-0.0058633674971920683,-0.0064362050711520699,-0.0015071311071440108,0.28641878698000089,0.57283757396000179,0.00057283757396000179,1,-2.7755575615628914e-17,0,0.29673280075962688,0.25630336267037224,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,38,0.090299701152978459,0.095742333557101017,0.095742333557101017,0.095742333557101017,0.14999999999999999,1,1,0.28641878698000089,True,False,False,0,2.7755575615628914e-17,0.0010249101749105159,0.00045274558350945202
2024-02-26,0.002176285763190003,0.0015153283908662589,0.0017660656356042748,0.33047868616187215,0.6609573723237443,0.0006609573723237442,1,0,0,0.29999999999999999,0.23378215202853869,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,39,0.095615910579218297,0.083790339357739704,0.083790339357739704,0.083790339357739704,0.14999999999999999,1,1,0.33047868616187215,True,False,False,0,0,0.0010621509180113492,0.00037924037019242308
2024-02-27,-0.00013153661238382198,-0.00078031528906386341,-0.0007704942742407147,0.32438933834002071,0.64877867668004141,0.00064877867668004146,1,-2.7755575615628914e-17,0,0.29999999999999999,0.25706482086687665,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,40,0.083231160337280452,0.087191012507426613,0.087191012507426613,0.087191012507426613,0.14999999999999999,1,1,0.32438933834002071,True,False,False,0,2.7755575615628914e-17,0.0015724132019034702,0.00052776347562096275
2024-02-28,0.0027636022195174944,0.0017261108801337039,0.0017805258311212042,0.51874566969189528,1.0374913393837906,0.0010374913393837906,1,0,0,0.29999999999999999,0.24009608160985105,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,41,0.08542994350682058,0.1025728117496895,0.1025728117496895,0.1025728117496895,0.14999999999999999,1,1,0.51874566969189528,True,False,False,0,0,0.0043514667634554118,0.0011471454639821138
2024-02-29,-0.0053690296649924188,-0.0053719003689652401,0.001077361101344118,0.0014353519864108259,0.0028707039728216519,2.8707039728216519e-06,1,-5.5511151231257827e-17,0,0.29998917478394727,0.24016927267989574,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,42,0.10199403490897715,0.10176210061755049,0.10176210061755049,0.10157215028459429,0.14999999999999999,1,1,0.0034013513310368892,False,False,True,0.0014353519864108259,5.5511151231257827e-17,3.1485358888178806e-05,5.3634724855528656e-06
2024-03-01,0.015305995169464771,0.014820202533001781,0.0023742751688454744,0.24289631823149505,0.48579263646299009,0.00048579263646299003,1,0,0,0.29999999999999999,0.2471000011628019,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,43,0.10237460975921241,0.088169352754196503,0.088169352754196503,0.088169352754196503,0.14999999999999999,1,1,0.24289631823149505,True,False,False,0,0,0.0043938587314236097,0.0012593527480392627
2024-03-04,0.010269123774523154,0.010254048521109616,-0.00062310058831271953,0.0075376267067692945,0.015075253413538589,1.5075253413538589e-05,0.96758495303424497,5.5511151231257827e-17,0.032415046965755034,0.29123440060905198,0.23103533013478475,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,44,0.092538473815532943,0.093892189106414531,0.093892189106414531,0.091141621165035824,0.14999999999999999,1,1,0.04896891615941483,False,False,True,0.0075376267067692945,5.5511151231257827e-17,0.00015013997632017283,3.3907677928416772e-05
2024-03-05,-0.0067916656555635545,-0.0069173689990575781,-0.0012704214330540213,0.06285167174701202,0.12570334349402404,0.00012570334349402404,1,2.7755575615628914e-17,0,0.29999999999999999,0.25630768643691931,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,45,0.091480970249161783,0.095830256443346584,0.095830256443346584,0.095830256443346584,0.14999999999999999,1,1,0.06285167174701202,True,False,False,0,2.7755575615628914e-17,0.0013402234643936195,0.00039662407122862563
2024-03-06,-0.0013321192191662311,-0.0016251451029143118,-0.00062216073971136754,0.1465129418740404,0.29302588374808081,0.00029302588374808083,1,-6.9388939039072284e-17,0,0.29999999999999999,0.23255667030643892,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,46,0.097047049594338575,0.087017110450865992,0.087017110450865992,0.087017110450865992,0.14999999999999999,1,1,0.1465129418740404,True,False,False,4.8572257327350599e-17,2.7755575615628914e-17,0.0014891625655177345,0.00043120200461450978
2024-03-07,-0.0065493291972968269,-0.0065600242608959978,0.0016419573485606336,0.0053475317995853866,0.010695063599170773,1.0695063599170774e-05,0.99559884127396381,5.5511151231257827e-17,0.0044011587260361917,0.29999999999999999,0.23130191315409995,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,47,0.087035456310683559,0.085938444681307596,0.085938444681307596,0.086013483070319155,0.14999999999999999,1,1,0.012981347735211882,False,False,True,0.0053475317995853866,5.5511151231257827e-17,7.3860123773631224e-05,2.6512507161458886e-05
2024-03-08,-0.0053337796016328116,-0.0058551655258728226,0.00086966447194745489,0.26069296212000553,0.52138592424001107,0.0005213859242400111,1,2.7755575615628914e-17,0,0.29999999999999999,0.20980762830965227,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,48,0.087237586180884591,0.086708629853453845,0.086708629853453845,0.086708629853453845,0.14999999999999999,1,1,0.26069296212000553,True,False,False,0,2.7755575615628914e-17,0.0023123600334908254,0.0014064184063297205
2024-03-11,-0.0034721397431354932,-0.0038466941274371792,0.00017057329794069816,0.18727719215084299,0.37455438430168597,0.00037455438430168594,1,0,0,0.29999999999999999,0.26000000000000001,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,49,0.087634111142676982,0.092561570316339506,0.092561570316339506,0.092561570316339506,0.14999999999999999,1,1,0.18727719215084299,True,False,False,0,0,0.0041721897614815789,0.0011066212027393827
2024-03-12,-0.0012102141673346095,-0.001986111469224853,-0.00075000027981684625,0.38794865094512171,0.77589730189024342,0.00077589730189024349,1,5.5511151231257827e-17,0,0.29999999999999999,0.2580453104876943,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,50,0.092406236606535144,0.093788212335441462,0.093788212335441462,0.093788212335441462,0.14999999999999999,1,1,0.38794865094512171,True,False,False,5.5511151231257827e-17,0,0.010646938883368599,0.0028244950486925788
2024-03-13,-0.0035842180891317698,-0.0040336241289389068,0.0024854907937787067,0.22470301990356867,0.44940603980713734,0.00044940603980713736,0.99999999999999989,0,1.1102230246251565e-16,0.29999999999999999,0.25539555632395022,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,51,0.092469346554213502,0.096226554402326567,0.096226554402326567,0.096226554402326567,0.14999999999999999,1,1,0.22470301990356867,True,False,False,0,0,0.0026512910064746082,0.00080903256853618319
2024-03-14,0.003671444660322448,0.0027718880095516105,0.0029371415500596219,0.44977832538541879,0.89955665077083757,0.00089955665077083753,1,2.7755575615628914e-17,0,0.23697151294798766,0.21082424789766144,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,52,0.095840801860781769,0.0915910773745226,0.0915910773745226,0.0915910773745226,0.14999999999999999,1,1,0.44977832538541879,True,False,False,6.2450045135165055e-17,8.3266726846886741e-17,0.010886654835592043,0.0027901000837776062
2024-03-15,-0.010908922085155747,-0.011376710968363795,0.001308856829301652,0.23389444160402456,0.46778888320804912,0.00046778888320804908,1.0000000000000002,2.7755575615628914e-17,-2.2204460492503131e-16,0.25959987044773153,0.22439398310187442,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,53,0.091418586367416302,0.096597212363474905,0.096597212363474905,0.096597212363474905,0.14999999999999999,1,1,0.23389444160402456,True,False,False,0,2.2204460492503131e-16,0.0030244523298582631,0.0011454785949052081
2024-03-18,-0.00055399928379723008,-0.0008249620033615743,0.00048337480363186408,0.13548135978217216,0.27096271956434431,0.00027096271956434428,1,5.5511151231257827e-17,0,0.26117229784624085,0.23068808974599619,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,54,0.10008710960271795,0.09867678314617033,0.09867678314617033,0.09867678314617033,0.14999999999999999,1,1,0.13548135978217216,True,False,False,0,5.5511151231257827e-17,0.0024453582655210152,0.00066391419812739311
2024-03-19,-0.0068900229042735441,-0.0068918565560191864,0.0017488692203176024,0.00091682587282127664,0.0018336517456425533,1.8336517456425534e-06,0.99999999999999989,2.7755575615628914e-17,1.1102230246251565e-16,0.26111749018655056,0.23058310220942099,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,55,0.098005641176888925,0.097883545126639632,0.097883545126639632,0.097820902777437907,0.14999999999999999,1,1,0.0018208983228480934,False,False,True,0.00091682587282127664,2.7755575615628914e-17,7.5678792799197295e-06,3.5506041394570296e-06
2024-03-20,0.00084019360039362635,0.00082886004704547597,0.00020301248628340501,0.0056667766740751829,0.011333553348150366,1.1333553348150366e-05,1.0000000000000002,-2.7755575615628914e-17,-2.2204460492503131e-16,0.26350327564498033,0.23087933047430759,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,56,0.099588984736871194,0.097947386108586248,0.097947386108586248,0.098400009341925956,0.14999999999999999,1,1,0.016886187926732049,False,False,True,0.0056667766740751829,2.2204460492503131e-16,9.8992305280942131e-05,2.962858951172869e-05
2024-03-21,0.004078840584965408,0.003409580972308866,0.0022364147111052311,0.33462980632827094,0.66925961265654188,0.00066925961265654188,1,1.3877787807814457e-17,0,0.26754096683206302,0.20124328191031393,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,57,0.097234127319793362,0.084654178623583334,0.084654178623583334,0.084654178623583334,0.14999999999999999,1,1,0.33462980632827094,True,False,False,0,1.3877787807814457e-17,0.0025383899175535594,0.0012653008077777781
2024-03-22,0.0044126314080312245,0.0037845022437808487,0.00019077204070566743,0.31406458212518784,0.62812916425037568,0.00062812916425037562,1,5.5511151231257827e-17,0,0.24943578849711059,0.20054854054505381,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,58,0.083659038957558579,0.090726531552209014,0.090726531552209014,0.090726531552209014,0.14999999999999999,1,1,0.31406458212518784,True,False,False,0,5.5511151231257827e-17,0.0038544760185717946,0.0017988052194075899
2024-03-25,0.0019982165064389898,0.0018115799712525894,0.00084670977594993512,0.093318267593200166,0.18663653518640033,0.00018663653518640033,0.99999999999999989,6.9388939039072284e-17,1.1102230246251565e-16,0.29999999999999999,0.21132008604618133,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,59,0.090103634189581949,0.090599682189431208,0.090599682189431208,0.090599682189431208,0.14999999999999999,1,1,0.093318267593200166,True,False,False,4.5102810375396984e-17,1.3877787807814457e-17,0.0010118958023237524,0.00032221059926277479
2024-03-26,0.0095595723798456555,0.0095575781482457167,0.00075852418080609341,0.00099711579996927119,0.0019942315999385424,1.9942315999385424e-06,0.99907104539388003,-9.7144514654701197e-17,0.00092895460611996938,0.29807709125977078,0.21121697051300298,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,60,0.090114007761721432,0.090384807348488125,0.090384807348488125,0.089918784670810104,0.14999999999999999,1,1,0.0099263293132268206,False,False,True,0.00099711579996927119,9.7144514654701197e-17,1.8607533009436758e-05,4.7314081785209193e-06
2024-03-27,0.0022411552309988636,0.0022316861787097446,0.0018722909513302726,0.0047345261445595546,0.0094690522891191092,9.4690522891191087e-06,0.98179060201044299,8.3266726846886741e-17,0.018209397989557008,0.2951784604803287,0.2046339312200659,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,60,0.090905773367268225,0.092373448226972979,0.092373448226972979,0.089911136524012183,0.14999999999999999,1,1,0.013818241440079076,False,False,True,0.0047345261445595546,8.3266726846886741e-17,8.0275954793836143e-05,2.0477109979490969e-05
2024-03-28,-0.0032846311669416841,-0.0032868673106275642,0.0017926486269518316,0.0011180718429400528,0.0022361436858801056,2.2361436858801058e-06,0.97706113730268151,-2.7755575615628914e-17,0.022938862697318485,0.29249275134530095,0.20202280111731014,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,60,0.089320419395806025,0.09198823853896114,0.09198823853896114,0.089098085557577103,0.14999999999999999,1,1,0.016884898135330426,False,False,True,0.0011180718429400528,2.7755575615628914e-17,1.9114804625735239e-05,5.0138104652835658e-06
2024-03-29,-0.015933224420845726,-0.016237954784988247,0.0008596746998528566,0.15236518207126018,0.30473036414252036,0.00030473036414252035,1,0,0,0.29999999999999999,0.26000000000000001,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,60,0.087512550595343741,0.10174341783289462,0.10174341783289462,0.10174341783289462,0.14999999999999999,1,1,0.15236518207126018,True,False,False,0,0,0.0013403047752615365,0.00065772406645153746
2024-04-01,-0.0041708145433122304,-0.0047083022556487462,0.0026454073465770884,0.2687438561682578,0.5374877123365156,0.00053748771233651563,1,-5.5511151231257827e-17,0,0.29999999999999999,0.23861246393766267,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,60,0.10646717419977535,0.089526570914046671,0.089526570914046671,0.089526570914046671,0.14999999999999999,1,1,0.2687438561682578,True,False,False,0,5.5511151231257827e-17,0.0038228377683122835,0.0012679659868925159
